"date","region/province","lat","long","confirmed","deaths","recovered","active"
"2020-03-05","Algeria","28.034","1.66","12","0","0","12"
"2020-03-06","Algeria","28.034","1.66","17","0","0","17"
"2020-03-07","Algeria","28.034","1.66","17","0","0","17"
"2020-03-08","Algeria","28.034","1.66","19","0","0","19"
"2020-03-09","Algeria","28.034","1.66","20","0","0","20"
"2020-03-10","Algeria","28.034","1.66","20","0","0","20"
"2020-03-11","Algeria","28.034","1.66","20","0","0","20"
"2020-03-12","Algeria","28.034","1.66","24","1","8","15"
"2020-03-13","Algeria","28.034","1.66","26","2","8","16"
"2020-03-14","Algeria","28.034","1.66","37","3","12","22"
"2020-03-15","Algeria","28.034","1.66","48","4","12","32"
"2020-03-16","Algeria","28.034","1.66","54","4","12","38"
"2020-03-17","Algeria","28.034","1.66","60","4","12","44"
"2020-03-18","Algeria","28.034","1.66","74","7","12","55"
"2020-03-19","Algeria","28.034","1.66","87","9","32","46"
"2020-03-20","Algeria","28.034","1.66","90","11","32","47"
"2020-03-21","Algeria","28.034","1.66","139","15","32","92"
"2020-03-22","Algeria","28.034","1.66","201","17","65","119"
"2020-03-23","Algeria","28.034","1.66","230","17","65","148"
"2020-03-24","Algeria","28.034","1.66","264","19","24","221"
"2020-03-25","Algeria","28.034","1.66","302","21","65","216"
"2020-03-26","Algeria","28.034","1.66","367","25","29","313"
"2020-03-27","Algeria","28.034","1.66","409","26","29","354"
"2020-03-28","Algeria","28.034","1.66","454","29","31","394"
"2020-03-29","Algeria","28.034","1.66","511","31","31","449"
"2020-03-30","Algeria","28.034","1.66","584","35","37","512"
"2020-03-31","Algeria","28.034","1.66","716","44","46","626"
"2020-04-01","Algeria","28.034","1.66","847","58","61","728"
"2020-02-16","Andorra","42.506","1.522","0","0","0","0"
"2020-02-17","Andorra","42.506","1.522","0","0","0","0"
"2020-02-18","Andorra","42.506","1.522","0","0","0","0"
"2020-02-19","Andorra","42.506","1.522","0","0","0","0"
"2020-02-20","Andorra","42.506","1.522","0","0","0","0"
"2020-02-21","Andorra","42.506","1.522","0","0","0","0"
"2020-02-22","Andorra","42.506","1.522","0","0","0","0"
"2020-02-23","Andorra","42.506","1.522","0","0","0","0"
"2020-02-24","Andorra","42.506","1.522","0","0","0","0"
"2020-02-25","Andorra","42.506","1.522","0","0","0","0"
"2020-02-26","Andorra","42.506","1.522","0","0","0","0"
"2020-02-27","Andorra","42.506","1.522","0","0","0","0"
"2020-02-28","Andorra","42.506","1.522","0","0","0","0"
"2020-02-29","Andorra","42.506","1.522","0","0","0","0"
"2020-03-01","Andorra","42.506","1.522","0","0","0","0"
"2020-03-02","Andorra","42.506","1.522","1","0","0","1"
"2020-03-03","Andorra","42.506","1.522","1","0","0","1"
"2020-03-04","Andorra","42.506","1.522","1","0","0","1"
"2020-03-05","Andorra","42.506","1.522","1","0","0","1"
"2020-03-06","Andorra","42.506","1.522","1","0","0","1"
"2020-03-07","Andorra","42.506","1.522","1","0","0","1"
"2020-03-08","Andorra","42.506","1.522","1","0","0","1"
"2020-03-09","Andorra","42.506","1.522","1","0","0","1"
"2020-03-10","Andorra","42.506","1.522","1","0","0","1"
"2020-03-11","Andorra","42.506","1.522","1","0","0","1"
"2020-03-12","Andorra","42.506","1.522","1","0","1","0"
"2020-03-13","Andorra","42.506","1.522","1","0","0","1"
"2020-03-14","Andorra","42.506","1.522","1","0","1","0"
"2020-03-15","Andorra","42.506","1.522","1","0","1","0"
"2020-03-16","Andorra","42.506","1.522","2","0","1","1"
"2020-03-17","Andorra","42.506","1.522","39","0","1","38"
"2020-03-18","Andorra","42.506","1.522","39","0","1","38"
"2020-03-19","Andorra","42.506","1.522","53","0","1","52"
"2020-03-20","Andorra","42.506","1.522","75","0","1","74"
"2020-03-21","Andorra","42.506","1.522","88","0","1","87"
"2020-03-22","Andorra","42.506","1.522","113","1","1","111"
"2020-03-23","Andorra","42.506","1.522","133","1","1","131"
"2020-03-24","Andorra","42.506","1.522","164","1","1","162"
"2020-03-25","Andorra","42.506","1.522","188","1","1","186"
"2020-03-26","Andorra","42.506","1.522","224","3","1","220"
"2020-03-27","Andorra","42.506","1.522","267","3","1","263"
"2020-03-28","Andorra","42.506","1.522","308","3","1","304"
"2020-03-29","Andorra","42.506","1.522","334","6","1","327"
"2020-03-30","Andorra","42.506","1.522","370","8","10","352"
"2020-03-31","Andorra","42.506","1.522","376","12","10","354"
"2020-04-01","Andorra","42.506","1.522","390","14","10","366"
"2020-02-16","Angola","-11.203","17.874","0","0","0","0"
"2020-02-17","Angola","-11.203","17.874","0","0","0","0"
"2020-02-18","Angola","-11.203","17.874","0","0","0","0"
"2020-02-19","Angola","-11.203","17.874","0","0","0","0"
"2020-02-20","Angola","-11.203","17.874","0","0","0","0"
"2020-02-21","Angola","-11.203","17.874","0","0","0","0"
"2020-02-22","Angola","-11.203","17.874","0","0","0","0"
"2020-02-23","Angola","-11.203","17.874","0","0","0","0"
"2020-02-24","Angola","-11.203","17.874","0","0","0","0"
"2020-02-25","Angola","-11.203","17.874","0","0","0","0"
"2020-02-26","Angola","-11.203","17.874","0","0","0","0"
"2020-02-27","Angola","-11.203","17.874","0","0","0","0"
"2020-02-28","Angola","-11.203","17.874","0","0","0","0"
"2020-02-29","Angola","-11.203","17.874","0","0","0","0"
"2020-03-01","Angola","-11.203","17.874","0","0","0","0"
"2020-03-02","Angola","-11.203","17.874","0","0","0","0"
"2020-03-03","Angola","-11.203","17.874","0","0","0","0"
"2020-03-04","Angola","-11.203","17.874","0","0","0","0"
"2020-03-05","Angola","-11.203","17.874","0","0","0","0"
"2020-03-06","Angola","-11.203","17.874","0","0","0","0"
"2020-03-07","Angola","-11.203","17.874","0","0","0","0"
"2020-03-08","Angola","-11.203","17.874","0","0","0","0"
"2020-03-09","Angola","-11.203","17.874","0","0","0","0"
"2020-03-10","Angola","-11.203","17.874","0","0","0","0"
"2020-03-11","Angola","-11.203","17.874","0","0","0","0"
"2020-03-12","Angola","-11.203","17.874","0","0","0","0"
"2020-03-13","Angola","-11.203","17.874","0","0","0","0"
"2020-03-14","Angola","-11.203","17.874","0","0","0","0"
"2020-03-15","Angola","-11.203","17.874","0","0","0","0"
"2020-03-16","Angola","-11.203","17.874","0","0","0","0"
"2020-03-17","Angola","-11.203","17.874","0","0","0","0"
"2020-03-18","Angola","-11.203","17.874","0","0","0","0"
"2020-03-19","Angola","-11.203","17.874","0","0","0","0"
"2020-03-20","Angola","-11.203","17.874","1","0","0","1"
"2020-03-21","Angola","-11.203","17.874","2","0","0","2"
"2020-03-22","Angola","-11.203","17.874","2","0","0","2"
"2020-03-23","Angola","-11.203","17.874","3","0","0","3"
"2020-03-24","Angola","-11.203","17.874","3","0","0","3"
"2020-03-25","Angola","-11.203","17.874","3","0","0","3"
"2020-03-26","Angola","-11.203","17.874","4","0","0","4"
"2020-03-27","Angola","-11.203","17.874","4","0","0","4"
"2020-03-28","Angola","-11.203","17.874","5","0","0","5"
"2020-03-29","Angola","-11.203","17.874","7","2","0","5"
"2020-03-30","Angola","-11.203","17.874","7","2","0","5"
"2020-03-31","Angola","-11.203","17.874","7","2","1","4"
"2020-04-01","Angola","-11.203","17.874","8","2","1","5"
"2020-02-16","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-17","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-18","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-19","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-20","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-21","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-22","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-23","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-24","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-25","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-26","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-27","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-28","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-02-29","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-01","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-02","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-03","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-04","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-05","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-06","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-07","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-08","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-09","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-10","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-11","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-12","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-03-13","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-14","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-15","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-16","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-17","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-18","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-19","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-20","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-21","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-22","Antigua and Barbuda","17.061","-61.796","1","0","0","1"
"2020-03-23","Antigua and Barbuda","17.061","-61.796","3","0","0","3"
"2020-03-24","Antigua and Barbuda","17.061","-61.796","3","0","0","3"
"2020-03-25","Antigua and Barbuda","17.061","-61.796","3","0","0","3"
"2020-03-26","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-03-27","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-03-28","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-03-29","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-03-30","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-03-31","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-04-01","Antigua and Barbuda","17.061","-61.796","7","0","0","7"
"2020-02-16","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-17","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-18","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-19","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-20","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-21","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-22","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-23","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-24","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-25","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-26","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-27","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-28","Argentina","-38.416","-63.617","0","0","0","0"
"2020-02-29","Argentina","-38.416","-63.617","0","0","0","0"
"2020-03-01","Argentina","-38.416","-63.617","0","0","0","0"
"2020-03-02","Argentina","-38.416","-63.617","0","0","0","0"
"2020-03-03","Argentina","-38.416","-63.617","1","0","0","1"
"2020-03-04","Argentina","-38.416","-63.617","1","0","0","1"
"2020-03-05","Argentina","-38.416","-63.617","1","0","0","1"
"2020-03-06","Argentina","-38.416","-63.617","2","0","0","2"
"2020-03-07","Argentina","-38.416","-63.617","8","0","0","8"
"2020-03-08","Argentina","-38.416","-63.617","12","1","0","11"
"2020-03-09","Argentina","-38.416","-63.617","12","1","0","11"
"2020-03-10","Argentina","-38.416","-63.617","17","1","0","16"
"2020-03-11","Argentina","-38.416","-63.617","19","1","0","18"
"2020-03-12","Argentina","-38.416","-63.617","19","1","0","18"
"2020-03-13","Argentina","-38.416","-63.617","31","2","0","29"
"2020-03-14","Argentina","-38.416","-63.617","34","2","1","31"
"2020-03-15","Argentina","-38.416","-63.617","45","2","1","42"
"2020-03-16","Argentina","-38.416","-63.617","56","2","1","53"
"2020-03-17","Argentina","-38.416","-63.617","68","2","3","63"
"2020-03-18","Argentina","-38.416","-63.617","79","2","3","74"
"2020-03-19","Argentina","-38.416","-63.617","97","3","3","91"
"2020-03-20","Argentina","-38.416","-63.617","128","3","3","122"
"2020-03-21","Argentina","-38.416","-63.617","158","4","3","151"
"2020-03-22","Argentina","-38.416","-63.617","266","4","3","259"
"2020-03-23","Argentina","-38.416","-63.617","301","4","27","270"
"2020-03-24","Argentina","-38.416","-63.617","387","6","52","329"
"2020-03-25","Argentina","-38.416","-63.617","387","8","52","327"
"2020-03-26","Argentina","-38.416","-63.617","502","9","63","430"
"2020-03-27","Argentina","-38.416","-63.617","589","13","72","504"
"2020-03-28","Argentina","-38.416","-63.617","690","18","72","600"
"2020-03-29","Argentina","-38.416","-63.617","745","19","72","654"
"2020-03-30","Argentina","-38.416","-63.617","820","23","228","569"
"2020-03-31","Argentina","-38.416","-63.617","1054","27","240","787"
"2020-04-01","Argentina","-38.416","-63.617","1054","28","248","778"
"2020-02-16","Armenia","40.069","45.038","0","0","0","0"
"2020-02-17","Armenia","40.069","45.038","0","0","0","0"
"2020-02-18","Armenia","40.069","45.038","0","0","0","0"
"2020-02-19","Armenia","40.069","45.038","0","0","0","0"
"2020-02-20","Armenia","40.069","45.038","0","0","0","0"
"2020-02-21","Armenia","40.069","45.038","0","0","0","0"
"2020-02-22","Armenia","40.069","45.038","0","0","0","0"
"2020-02-23","Armenia","40.069","45.038","0","0","0","0"
"2020-02-24","Armenia","40.069","45.038","0","0","0","0"
"2020-02-25","Armenia","40.069","45.038","0","0","0","0"
"2020-02-26","Armenia","40.069","45.038","0","0","0","0"
"2020-02-27","Armenia","40.069","45.038","0","0","0","0"
"2020-02-28","Armenia","40.069","45.038","0","0","0","0"
"2020-02-29","Armenia","40.069","45.038","0","0","0","0"
"2020-03-01","Armenia","40.069","45.038","1","0","0","1"
"2020-03-02","Armenia","40.069","45.038","1","0","0","1"
"2020-03-03","Armenia","40.069","45.038","1","0","0","1"
"2020-03-04","Armenia","40.069","45.038","1","0","0","1"
"2020-03-05","Armenia","40.069","45.038","1","0","0","1"
"2020-03-06","Armenia","40.069","45.038","1","0","0","1"
"2020-03-07","Armenia","40.069","45.038","1","0","0","1"
"2020-03-08","Armenia","40.069","45.038","1","0","0","1"
"2020-03-09","Armenia","40.069","45.038","1","0","0","1"
"2020-03-10","Armenia","40.069","45.038","1","0","0","1"
"2020-03-11","Armenia","40.069","45.038","1","0","0","1"
"2020-03-12","Armenia","40.069","45.038","4","0","0","4"
"2020-03-13","Armenia","40.069","45.038","8","0","0","8"
"2020-03-14","Armenia","40.069","45.038","18","0","0","18"
"2020-03-15","Armenia","40.069","45.038","26","0","0","26"
"2020-03-16","Armenia","40.069","45.038","52","0","0","52"
"2020-03-17","Armenia","40.069","45.038","78","0","1","77"
"2020-03-18","Armenia","40.069","45.038","84","0","1","83"
"2020-03-19","Armenia","40.069","45.038","115","0","1","114"
"2020-03-20","Armenia","40.069","45.038","136","0","1","135"
"2020-03-21","Armenia","40.069","45.038","160","0","1","159"
"2020-03-22","Armenia","40.069","45.038","194","0","2","192"
"2020-03-23","Armenia","40.069","45.038","235","0","2","233"
"2020-03-24","Armenia","40.069","45.038","249","0","14","235"
"2020-03-25","Armenia","40.069","45.038","265","0","16","249"
"2020-03-26","Armenia","40.069","45.038","290","1","18","271"
"2020-03-27","Armenia","40.069","45.038","329","1","28","300"
"2020-03-28","Armenia","40.069","45.038","407","1","30","376"
"2020-03-29","Armenia","40.069","45.038","424","3","30","391"
"2020-03-30","Armenia","40.069","45.038","482","3","30","449"
"2020-03-31","Armenia","40.069","45.038","532","3","30","499"
"2020-04-01","Armenia","40.069","45.038","571","4","31","536"
"2020-02-16","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-17","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-18","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-19","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-20","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-21","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-22","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-23","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-24","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-25","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-26","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-27","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-28","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-02-29","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-01","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-02","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-03","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-04","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-05","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-06","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-07","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-08","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-09","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-10","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-11","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-12","Australian Capital Territory, Australia","-35.474","149.012","0","0","0","0"
"2020-03-13","Australian Capital Territory, Australia","-35.474","149.012","1","0","0","1"
"2020-03-14","Australian Capital Territory, Australia","-35.474","149.012","1","0","0","1"
"2020-03-15","Australian Capital Territory, Australia","-35.474","149.012","1","0","0","1"
"2020-03-16","Australian Capital Territory, Australia","-35.474","149.012","2","0","0","2"
"2020-03-17","Australian Capital Territory, Australia","-35.474","149.012","2","0","0","2"
"2020-03-18","Australian Capital Territory, Australia","-35.474","149.012","3","0","0","3"
"2020-03-19","Australian Capital Territory, Australia","-35.474","149.012","4","0","0","4"
"2020-03-20","Australian Capital Territory, Australia","-35.474","149.012","6","0","0","6"
"2020-03-21","Australian Capital Territory, Australia","-35.474","149.012","9","0","0","9"
"2020-03-22","Australian Capital Territory, Australia","-35.474","149.012","19","0","0","19"
"2020-03-23","Australian Capital Territory, Australia","-35.474","149.012","32","0","0","32"
"2020-03-24","Australian Capital Territory, Australia","-35.474","149.012","39","0","0","39"
"2020-03-25","Australian Capital Territory, Australia","-35.474","149.012","39","0","0","39"
"2020-03-26","Australian Capital Territory, Australia","-35.474","149.012","53","0","1","52"
"2020-03-27","Australian Capital Territory, Australia","-35.474","149.012","62","0","1","61"
"2020-03-28","Australian Capital Territory, Australia","-35.474","149.012","71","0","2","69"
"2020-03-29","Australian Capital Territory, Australia","-35.474","149.012","77","0","2","75"
"2020-03-30","Australian Capital Territory, Australia","-35.474","149.012","78","1","2","75"
"2020-03-31","Australian Capital Territory, Australia","-35.474","149.012","80","1","3","76"
"2020-04-01","Australian Capital Territory, Australia","-35.474","149.012","84","1","8","75"
"2020-02-16","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-17","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-18","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-19","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-20","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-21","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-22","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-23","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-24","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-25","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-26","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-27","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-28","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-02-29","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-03-01","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-03-02","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-03-03","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-03-04","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-03-05","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
"2020-03-06","From Diamond Princess, Australia","35.444","139.638","0","0","0","0"
